"provincia";"poblacion";"codigopostalid"
"Araba/Álava";"Alegría-Dulantzi";"00240"
"Ávila";"Candeleda";"00548"
"Araba/Álava";"Vitoria-Gasteiz";"01001"
"Araba/Álava";"Vitoria-Gasteiz";"01002"
"Araba/Álava";"Vitoria-Gasteiz";"01003"
"Araba/Álava";"Vitoria-Gasteiz";"01004"
"Araba/Álava";"Vitoria-Gasteiz";"01005"
"Araba/Álava";"Vitoria-Gasteiz";"01006"
"Araba/Álava";"Vitoria-Gasteiz";"01007"
"Araba/Álava";"Vitoria-Gasteiz";"01008"
"Araba/Álava";"Vitoria-Gasteiz";"01009"
"Araba/Álava";"Vitoria-Gasteiz";"01010"
"Araba/Álava";"Vitoria-Gasteiz";"01012"
"Araba/Álava";"Labastida/Bastida";"01012"
"Araba/Álava";"Vitoria-Gasteiz";"01013"
"Araba/Álava";"Vitoria-Gasteiz";"01015"
"Araba/Álava";"Campezo/Kanpezu";"01110"
"Araba/Álava";"Campezo/Kanpezu";"01117"
"Araba/Álava";"Harana/Valle de Arana";"01117"
"Burgos";"Condado de Trevi?o";"01118"
"Araba/Álava";"Bernedo";"01118"
"Araba/Álava";"Lagrán";"01118"
"Araba/Álava";"Arraia-Maeztu";"01120"
"Araba/Álava";"Campezo/Kanpezu";"01128"
"Araba/Álava";"Arraia-Maeztu";"01128"
"Araba/Álava";"Bernedo";"01128"
"Araba/Álava";"Arraia-Maeztu";"01129"
"Araba/Álava";"Zuia";"01130"
"Araba/Álava";"Zigoitia";"01138"
"Araba/Álava";"Zuia";"01139"
"Araba/Álava";"Aramaio";"01160"
"Araba/Álava";"Aramaio";"01165"
"Araba/Álava";"Aramaio";"01169"
"Araba/Álava";"Legutio";"01170"
"Araba/Álava";"Legutio";"01171"
"Araba/Álava";"Vitoria-Gasteiz";"01191"
"Araba/Álava";"Iru?a Oka/Iru?a de Oca";"01191"
"Araba/Álava";"Vitoria-Gasteiz";"01192"
"Araba/Álava";"Elburgo/Burgelu";"01192"
"Araba/Álava";"Vitoria-Gasteiz";"01193"
"Araba/Álava";"Elburgo/Burgelu";"01193"
"Araba/Álava";"Iruraiz-Gauna";"01193"
"Araba/Álava";"Alegría-Dulantzi";"01193"
"Araba/Álava";"Vitoria-Gasteiz";"01194"
"Araba/Álava";"Bernedo";"01194"
"Araba/Álava";"Vitoria-Gasteiz";"01195"
"Araba/Álava";"Iru?a Oka/Iru?a de Oca";"01195"
"Araba/Álava";"Vitoria-Gasteiz";"01196"
"Araba/Álava";"Zigoitia";"01196"
"Araba/Álava";"Agurain/Salvatierra";"01200"
"Araba/Álava";"Barrundia";"01206"
"Araba/Álava";"Iruraiz-Gauna";"01206"
"Araba/Álava";"San Millán/Donemiliaga";"01207"
"Araba/Álava";"Agurain/Salvatierra";"01207"
"Araba/Álava";"Iruraiz-Gauna";"01207"
"Araba/Álava";"San Millán/Donemiliaga";"01208"
"Araba/Álava";"Asparrena";"01208"
"Araba/Álava";"Zalduondo";"01208"
"Araba/Álava";"Barrundia";"01208"
"Araba/Álava";"Armi?ón";"01211"
"Araba/Álava";"Berantevilla";"01211"
"Araba/Álava";"Pe?acerrada-Urizaharra";"01211"
"Burgos";"Condado de Trevi?o";"01211"
"Araba/Álava";"Lagrán";"01211"
"Araba/Álava";"Zambrana";"01212"
"Araba/Álava";"Berantevilla";"01212"
"Araba/Álava";"Pe?acerrada-Urizaharra";"01212"
"Araba/Álava";"Labastida/Bastida";"01212"
"Araba/Álava";"Lantarón";"01213"
"Araba/Álava";"Erriberagoitia/Ribera Alta";"01213"
"Araba/Álava";"Ribera Baja/Erribera Beitia";"01213"
"Araba/Álava";"Bernedo";"01216"
"Araba/Álava";"Pe?acerrada-Urizaharra";"01216"
"Araba/Álava";"Armi?ón";"01220"
"Araba/Álava";"Erriberagoitia/Ribera Alta";"01220"
"Araba/Álava";"Berantevilla";"01220"
"Araba/Álava";"Ribera Baja/Erribera Beitia";"01220"
"Araba/Álava";"Iru?a Oka/Iru?a de Oca";"01230"
"Araba/Álava";"Asparrena";"01250"
"Araba/Álava";"Asparrena";"01260"
"Araba/Álava";"Laguardia";"01300"
"Araba/Álava";"Lapuebla de Labarca";"01306"
"Araba/Álava";"Samaniego";"01307"
"Araba/Álava";"Villabuena de Álava/Eskuernaga";"01307"
"Araba/Álava";"Ba?os de Ebro/Ma?ueta";"01307"
"Araba/Álava";"Laguardia";"01308"
"Araba/Álava";"Kripan";"01308"
"Araba/Álava";"Lanciego/Lantziego";"01308"
"Araba/Álava";"Leza";"01309"
"Araba/Álava";"Navaridas";"01309"
"Araba/Álava";"Elvillar/Bilar";"01309"
"Araba/Álava";"Laguardia";"01309"
"Araba/Álava";"Oyón-Oion";"01320"
"Araba/Álava";"Laguardia";"01321"
"Araba/Álava";"Moreda de Álava/Moreda Araba";"01322"
"Araba/Álava";"Yécora/Iekora";"01322"
"Araba/Álava";"Oyón-Oion";"01322"
"Araba/Álava";"Labastida/Bastida";"01330"
"Araba/Álava";"Elciego";"01340"
"Araba/Álava";"Laudio/Llodio";"01400"
"Araba/Álava";"Ayala/Aiara";"01408"
"Araba/Álava";"Okondo";"01409"
"Araba/Álava";"Erriberagoitia/Ribera Alta";"01420"
"Araba/Álava";"Valdegovía/Gaubea";"01423"
"Araba/Álava";"A?ana";"01423"
"Araba/Álava";"Erriberagoitia/Ribera Alta";"01423"
"Araba/Álava";"Lantarón";"01423"
"Araba/Álava";"Valdegovía/Gaubea";"01426"
"Araba/Álava";"A?ana";"01426"
"Araba/Álava";"Erriberagoitia/Ribera Alta";"01426"
"Burgos";"Berberana";"01427"
"Burgos";"Jurisdicción de San Zadornil";"01427"
"Araba/Álava";"Valdegovía/Gaubea";"01427"
"Araba/Álava";"Erriberagoitia/Ribera Alta";"01428"
"Araba/Álava";"Valdegovía/Gaubea";"01428"
"Araba/Álava";"Iru?a Oka/Iru?a de Oca";"01428"
"Araba/Álava";"Kuartango";"01430"
"Araba/Álava";"Kuartango";"01439"
"Araba/Álava";"Urkabustaiz";"01440"
"Araba/Álava";"Urkabustaiz";"01449"
"Araba/Álava";"Amurrio";"01450"
"Araba/Álava";"Zuia";"01450"
"Araba/Álava";"Urkabustaiz";"01450"
"Araba/Álava";"Amurrio";"01468"
"Araba/Álava";"Ayala/Aiara";"01470"
"Araba/Álava";"Amurrio";"01470"
"Araba/Álava";"Artziniega";"01474"
"Araba/Álava";"Ayala/Aiara";"01476"
"Araba/Álava";"Ayala/Aiara";"01477"
"Araba/Álava";"Ayala/Aiara";"01478"
"Araba/Álava";"Artziniega";"01478"
"Araba/Álava";"Ayala/Aiara";"01479"
"Araba/Álava";"Legutio";"01510"
"Araba/Álava";"Vitoria-Gasteiz";"01510"
"Araba/Álava";"Arratzua-Ubarrundia";"01510"
"Araba/Álava";"Arratzua-Ubarrundia";"01520"
"Araba/Álava";"Vitoria-Gasteiz";"01520"
"Albacete";"Albacete";"02001"
"Albacete";"Albacete";"02002"
"Albacete";"Albacete";"02003"
"Albacete";"Albacete";"02004"
"Albacete";"Albacete";"02005"
"Albacete";"Albacete";"02006"
"Albacete";"Albacete";"02008"
"Albacete";"Albacete";"02049"
"Albacete";"Albacete";"02071"
"Albacete";"Pozo Ca?ada";"02099"
"Albacete";"Albacete";"02099"
"Albacete";"Tarazona de la Mancha";"02100"
"Gipuzkoa";"Lezo";"02100"
