,provincia,poblacion,cp
0,Araba/Álava,Alegría-Dulantzi,00240
1,Ávila,Candeleda,00548
2,Araba/Álava,Vitoria-Gasteiz,01001
3,Araba/Álava,Vitoria-Gasteiz,01002
4,Araba/Álava,Vitoria-Gasteiz,01003
5,Araba/Álava,Vitoria-Gasteiz,01004
6,Araba/Álava,Vitoria-Gasteiz,01005
7,Araba/Álava,Vitoria-Gasteiz,01006
8,Araba/Álava,Vitoria-Gasteiz,01007
9,Araba/Álava,Vitoria-Gasteiz,01008
10,Araba/Álava,Vitoria-Gasteiz,01009
11,Araba/Álava,Vitoria-Gasteiz,01010
12,Araba/Álava,Vitoria-Gasteiz,01012
13,Araba/Álava,Labastida/Bastida,01012
14,Araba/Álava,Vitoria-Gasteiz,01013
15,Araba/Álava,Vitoria-Gasteiz,01015
16,Araba/Álava,Campezo/Kanpezu,01110
17,Araba/Álava,Campezo/Kanpezu,01117
18,Araba/Álava,Harana/Valle de Arana,01117
19,Burgos,Condado de Treviño,01118
20,Araba/Álava,Bernedo,01118
21,Araba/Álava,Lagrán,01118
22,Araba/Álava,Arraia-Maeztu,01120
23,Araba/Álava,Campezo/Kanpezu,01128
24,Araba/Álava,Arraia-Maeztu,01128
25,Araba/Álava,Bernedo,01128
26,Araba/Álava,Arraia-Maeztu,01129
27,Araba/Álava,Zuia,01130
28,Araba/Álava,Zigoitia,01138
29,Araba/Álava,Zuia,01139
30,Araba/Álava,Aramaio,01160
31,Araba/Álava,Aramaio,01165
32,Araba/Álava,Aramaio,01169
33,Araba/Álava,Legutio,01170
34,Araba/Álava,Legutio,01171
35,Araba/Álava,Vitoria-Gasteiz,01191
36,Araba/Álava,Iruña Oka/Iruña de Oca,01191
37,Araba/Álava,Vitoria-Gasteiz,01192
38,Araba/Álava,Elburgo/Burgelu,01192
39,Araba/Álava,Vitoria-Gasteiz,01193
40,Araba/Álava,Elburgo/Burgelu,01193
41,Araba/Álava,Iruraiz-Gauna,01193
42,Araba/Álava,Alegría-Dulantzi,01193
43,Araba/Álava,Vitoria-Gasteiz,01194
44,Araba/Álava,Bernedo,01194
45,Araba/Álava,Vitoria-Gasteiz,01195
46,Araba/Álava,Iruña Oka/Iruña de Oca,01195
47,Araba/Álava,Vitoria-Gasteiz,01196
48,Araba/Álava,Zigoitia,01196
49,Araba/Álava,Agurain/Salvatierra,01200
50,Araba/Álava,Barrundia,01206
